Timestamp,Source_IP,Destination_IP,Protocol,Source_Port,Destination_Port,Action,Threat_Level
2025-01-25 21:37:13,35.118.190.14,44.207.46.184,UDP,25152,80,BLOCK,Medium
2025-01-15 12:25:33,239.197.64.143,16.187.153.91,TCP,64772,443,BLOCK,Low
2025-01-15 02:26:55,162.58.193.198,154.214.181.40,UDP,24505,443,BLOCK,Low
2025-01-16 08:51:48,36.144.120.234,109.64.209.130,TCP,64576,80,BLOCK,High
2025-01-30 16:59:33,167.162.40.243,115.93.100.100,UDP,16537,22,BLOCK,High
2025-01-17 12:36:54,216.110.120.214,79.196.44.88,TCP,55806,3306,ALLOW,Low
2025-01-14 16:23:55,133.183.81.1,87.122.211.7,TCP,58754,80,ALLOW,High
2025-01-01 16:58:33,110.233.74.31,130.163.48.98,UDP,45870,22,BLOCK,Medium
2025-01-06 19:31:20,147.60.156.194,129.177.10.179,ICMP,16262,8080,ALLOW,Low
2025-01-21 10:39:08,146.178.37.205,60.165.23.125,TCP,44797,8080,ALLOW,High
2025-01-15 19:43:23,115.242.51.166,67.140.244.233,ICMP,11739,22,BLOCK,Medium
2025-01-25 14:30:52,250.157.157.240,160.220.79.209,ICMP,59385,8080,BLOCK,Medium
2025-01-21 23:45:06,124.115.3.168,235.28.133.245,UDP,61692,443,BLOCK,High
2025-01-17 11:12:59,41.91.209.60,9.131.160.116,ICMP,65103,22,BLOCK,High
2025-01-25 13:19:42,119.166.220.176,30.69.175.158,TCP,40448,80,ALLOW,Low
2025-01-14 02:22:31,46.6.133.168,176.243.217.176,ICMP,29900,443,ALLOW,High
2025-01-15 09:26:51,18.172.97.252,2.9.218.40,TCP,15795,443,ALLOW,Medium
2025-01-13 04:43:08,72.208.173.71,45.56.236.35,ICMP,51774,443,BLOCK,High
2025-01-26 13:29:37,159.109.183.231,247.86.202.1,TCP,36427,8080,BLOCK,Medium
2025-01-30 17:26:58,79.28.87.191,13.194.244.168,ICMP,12406,3306,BLOCK,Medium
2025-01-08 06:17:13,109.207.52.119,183.216.69.47,ICMP,14990,443,ALLOW,Medium
2025-01-09 16:09:31,134.215.37.1,16.186.225.80,UDP,55613,443,ALLOW,Low
2025-01-20 06:47:00,150.100.107.135,245.241.90.162,TCP,13116,3306,BLOCK,Low
2025-01-21 23:13:15,104.251.5.177,48.92.221.143,ICMP,41425,443,BLOCK,Low
2025-01-04 07:07:21,93.60.178.30,246.222.207.165,UDP,63377,3306,ALLOW,High
2025-01-21 22:07:34,231.56.242.46,216.221.237.36,ICMP,41898,8080,BLOCK,High
2025-01-02 21:53:58,182.199.173.228,189.194.150.3,TCP,13292,8080,BLOCK,Low
2025-01-14 09:51:45,24.167.187.171,157.190.214.179,ICMP,48868,443,ALLOW,Low
2025-01-12 19:23:46,3.163.190.154,124.22.239.74,UDP,65221,80,ALLOW,High
2025-01-26 07:59:16,170.126.223.121,66.223.112.84,TCP,45639,80,ALLOW,High
2025-01-20 09:56:26,46.6.249.77,51.58.162.63,UDP,48702,8080,ALLOW,High
2025-01-19 15:28:36,210.73.219.202,50.29.217.76,ICMP,6413,22,BLOCK,Low
2025-01-22 02:01:59,156.241.225.116,122.129.79.130,ICMP,8838,80,ALLOW,Medium
2025-01-09 09:04:33,162.229.200.232,211.47.24.141,TCP,51290,3306,ALLOW,Medium
2025-01-16 13:02:57,254.241.75.67,34.216.128.161,UDP,51074,3306,BLOCK,High
2025-01-26 15:32:14,113.238.142.1,187.62.117.239,ICMP,50876,3306,ALLOW,High
2025-01-20 03:05:58,236.17.252.178,3.181.120.144,TCP,36731,8080,ALLOW,Low
2025-01-07 14:42:42,233.57.95.147,150.125.167.25,UDP,7105,80,ALLOW,Medium
2025-01-12 21:32:09,114.108.47.164,168.78.188.170,UDP,45143,80,ALLOW,Low
2025-01-09 07:04:47,30.78.185.92,43.59.143.122,TCP,44659,22,ALLOW,Low
2025-01-02 23:25:25,85.169.113.94,70.77.62.112,UDP,59260,8080,ALLOW,Medium
2025-01-22 19:26:14,183.170.242.158,62.222.105.168,TCP,2380,443,BLOCK,Medium
2025-01-30 03:48:12,123.162.241.1,7.112.136.52,ICMP,61320,3306,ALLOW,Medium
2025-01-07 00:29:44,208.80.170.213,126.139.153.25,TCP,17107,8080,BLOCK,Medium
2025-01-15 07:12:33,235.205.123.187,234.145.80.234,ICMP,46302,3306,ALLOW,High
2025-01-26 06:28:43,20.186.238.21,94.19.153.197,UDP,13709,80,BLOCK,Low
2025-01-07 13:53:57,105.12.114.201,93.23.33.159,ICMP,34487,8080,BLOCK,High
2025-01-23 11:57:03,233.162.27.98,202.238.176.33,TCP,49218,22,BLOCK,Medium
2025-01-14 16:01:03,50.33.147.13,47.131.103.54,ICMP,16974,443,BLOCK,Low
2025-01-02 10:10:01,184.226.199.114,248.143.63.106,UDP,40871,3306,BLOCK,High
2025-01-29 16:27:33,10.183.164.103,111.41.234.1,UDP,6281,443,BLOCK,Low
2025-01-22 09:34:17,29.115.158.13,244.69.173.134,UDP,46057,443,BLOCK,Low
2025-01-14 01:18:47,159.77.163.175,92.95.200.102,TCP,32853,3306,ALLOW,Low
2025-01-26 14:39:49,253.142.5.163,219.196.39.250,TCP,41215,3306,ALLOW,Medium
2025-01-06 10:25:15,175.64.176.115,234.129.205.135,ICMP,13426,443,ALLOW,Medium
2025-01-26 08:15:49,104.129.183.72,122.156.109.234,TCP,38023,3306,ALLOW,Medium
2025-01-03 04:55:08,73.137.195.130,144.186.22.59,UDP,14147,22,BLOCK,High
2025-01-22 10:09:43,163.139.18.231,50.184.35.193,TCP,63362,443,ALLOW,High
2025-01-03 17:19:01,111.174.206.101,106.129.87.153,ICMP,35811,443,BLOCK,High
2025-01-10 03:57:03,212.172.14.233,80.141.16.227,TCP,30451,22,ALLOW,Medium
2025-01-18 19:11:19,215.184.229.173,62.193.84.81,UDP,53014,80,ALLOW,Medium
2025-01-18 20:11:20,107.174.143.184,134.230.190.186,TCP,18703,8080,ALLOW,Low
2025-01-18 05:22:12,51.138.198.212,243.227.237.43,TCP,43636,3306,ALLOW,Low
2025-01-24 05:56:45,174.247.97.44,169.149.164.172,ICMP,60491,8080,ALLOW,Low
2025-01-01 00:53:57,85.223.63.121,131.235.57.135,ICMP,53027,22,ALLOW,Low
2025-01-02 04:21:53,1.107.188.209,125.144.53.39,UDP,46875,8080,BLOCK,Medium
2025-01-08 10:52:13,22.27.80.69,230.198.153.130,TCP,40528,80,ALLOW,Low
2025-01-16 17:07:50,71.196.166.178,182.27.243.248,UDP,42264,8080,ALLOW,Medium
2025-01-03 23:23:02,98.80.238.131,125.251.63.142,UDP,11245,3306,BLOCK,Low
2025-01-04 05:39:31,49.185.126.191,83.169.130.155,TCP,55845,443,BLOCK,High
2025-01-15 08:10:23,186.1.172.80,246.87.192.151,ICMP,55774,443,BLOCK,Medium
2025-01-06 14:34:38,150.230.11.28,174.17.189.10,UDP,23038,8080,BLOCK,Low
2025-01-02 17:32:06,195.32.235.126,58.9.118.253,UDP,12442,443,BLOCK,Low
2025-01-30 19:21:00,223.214.51.254,4.58.124.185,TCP,58549,22,ALLOW,High
2025-01-22 00:40:24,253.3.10.61,153.56.89.20,UDP,50928,8080,ALLOW,High
2025-01-23 17:59:27,81.146.207.149,68.132.23.91,TCP,47681,80,ALLOW,Medium
2025-01-20 19:59:49,87.133.165.110,206.169.95.49,TCP,48315,22,BLOCK,High
