User_ID,Age_Group,Gender,Location,Daily_Usage_Hours,Primary_App_Category,Screen_Time_Minutes,Data_Usage_GB_per_Month,Battery_Usage_Percentage,Addiction_Score_(1-10)
U1000,41-50,Other,Semi-Urban,4.05,Social Media,68,10.7,81,5
U1001,50+,Other,Urban,3.96,Streaming,134,6.3,72,1
U1002,31-40,Female,Urban,3.65,Productivity,353,12.1,43,6
U1003,50+,Male,Rural,3.35,Education,443,8.17,75,7
U1004,50+,Female,Rural,3.0,Social Media,458,19.72,81,8
U1005,21-30,Male,Rural,4.6,Social Media,664,10.7,53,2
U1006,31-40,Male,Semi-Urban,3.9,Gaming,90,8.66,41,7
U1007,31-40,Male,Semi-Urban,5.6,Productivity,641,21.87,87,6
U1008,31-40,Female,Rural,5.22,Shopping,336,15.69,76,9
U1009,50+,Male,Semi-Urban,3.11,Education,383,7.52,29,8
U1010,41-50,Female,Rural,4.66,Streaming,422,8.05,85,4
U1011,31-40,Other,Semi-Urban,3.87,Gaming,233,14.37,27,9
U1012,50+,Other,Urban,3.01,Education,287,12.22,57,1
U1013,21-30,Male,Urban,5.53,Productivity,515,16.45,81,6
U1014,41-50,Female,Rural,4.32,Education,546,8.69,47,8
U1015,21-30,Other,Semi-Urban,3.89,Social Media,475,15.51,29,4
U1016,41-50,Female,Semi-Urban,3.22,Social Media,209,1.0,64,2
U1017,50+,Female,Urban,2.96,Gaming,371,11.23,84,2
U1018,15-20,Male,Urban,7.48,Productivity,162,8.91,86,10
U1019,41-50,Other,Rural,5.0,Productivity,472,9.72,28,1
U1020,21-30,Male,Urban,2.86,Education,282,11.49,24,5
U1021,50+,Male,Rural,4.93,Gaming,294,17.69,29,6
U1022,41-50,Other,Urban,6.09,Productivity,122,6.23,31,4
U1023,15-20,Other,Urban,4.75,Shopping,691,1.06,77,4
U1024,15-20,Female,Semi-Urban,6.56,Shopping,440,6.81,40,5
U1025,31-40,Other,Urban,2.19,Social Media,167,17.11,40,5
U1026,31-40,Female,Urban,1.51,Education,237,3.78,84,9
U1027,21-30,Female,Rural,4.89,Streaming,666,9.14,22,8
U1028,41-50,Female,Urban,4.91,Social Media,602,16.2,88,9
U1029,41-50,Other,Rural,0.5,Gaming,336,11.71,83,3
U1030,31-40,Male,Urban,3.56,Productivity,295,17.64,68,3
U1031,41-50,Female,Urban,2.99,Social Media,675,1.83,91,1
U1032,41-50,Male,Rural,2.41,Streaming,347,10.39,36,10
U1033,15-20,Male,Semi-Urban,2.98,Streaming,142,18.69,92,6
U1034,31-40,Other,Rural,5.39,Shopping,407,6.37,51,4
U1035,50+,Male,Rural,2.97,Gaming,483,17.17,89,8
U1036,31-40,Male,Rural,3.03,Social Media,220,10.82,40,2
U1037,50+,Other,Semi-Urban,2.07,Education,469,14.17,26,2
U1038,15-20,Female,Urban,6.4,Social Media,216,18.32,26,7
U1039,21-30,Male,Rural,5.15,Shopping,396,14.15,46,5
U1040,41-50,Other,Rural,0.76,Streaming,118,9.04,27,1
U1041,15-20,Male,Semi-Urban,3.03,Gaming,216,14.81,92,7
U1042,41-50,Male,Rural,5.29,Gaming,161,8.69,47,7
U1043,21-30,Female,Urban,6.42,Education,664,13.37,98,10
U1044,21-30,Male,Semi-Urban,5.76,Gaming,589,5.74,85,6
U1045,15-20,Other,Urban,3.97,Shopping,405,12.15,90,4
U1046,21-30,Male,Urban,1.6,Shopping,128,17.95,66,8
U1047,50+,Female,Semi-Urban,5.81,Shopping,63,10.51,29,2
U1048,21-30,Female,Rural,4.05,Gaming,611,17.47,52,2
