Port,Service,Status,Response_Time_ms
56423,Unknown,Open,79.59
15796,Unknown,Open,90.85
861,Unknown,Open,156.01
38159,Unknown,Open,100.29
62571,Unknown,Open,88.59
54344,Unknown,Closed,136.1
44733,Unknown,Open,155.57
11285,Unknown,Closed,141.57
54887,Unknown,Closed,149.88
6266,Unknown,Closed,97.3
16851,Unknown,Open,77.35
62679,Unknown,Closed,165.04
37195,Unknown,Closed,110.32
21963,Unknown,Open,112.48
47192,Unknown,Closed,159.85
60789,Unknown,Closed,136.69
44132,Unknown,Open,133.68
60264,Unknown,Open,184.95
16024,Unknown,Closed,100.69
41091,Unknown,Closed,147.84
1686,Unknown,Open,121.71
64821,Unknown,Open,128.06
770,Unknown,Closed,165.85
59736,Unknown,Closed,135.24
62956,Unknown,Closed,136.15
64926,Unknown,Closed,152.18
56102,Unknown,Closed,109.05
2434,Unknown,Closed,94.82
5312,Unknown,Open,88.66
37820,Unknown,Open,61.01
39189,Unknown,Closed,181.69
17569,Unknown,Closed,86.9
53708,Unknown,Closed,113.36
19770,Unknown,Closed,111.7
28694,Unknown,Open,129.22
6397,Unknown,Closed,144.47
62188,Unknown,Closed,145.81
27481,Unknown,Open,102.51
65073,Unknown,Open,114.99
41435,Unknown,Closed,128.48
25659,Unknown,Open,112.54
18943,Unknown,Closed,168.22
57002,Unknown,Open,134.73
18432,Unknown,Closed,142.05
64988,Unknown,Open,139.89
2748,Unknown,Closed,155.2
58320,Unknown,Closed,125.43
59151,Unknown,Closed,81.1
190,Unknown,Closed,131.99
64446,Unknown,Closed,100.46
19119,Unknown,Open,104.14
35774,Unknown,Closed,137.59
53811,Unknown,Closed,157.15
1900,Unknown,Closed,120.64
56887,Unknown,Closed,129.26
1268,Unknown,Open,171.07
31552,Unknown,Open,127.22
50681,Unknown,Closed,198.05
11395,Unknown,Closed,136.97
3557,Unknown,Closed,67.18
3891,Unknown,Closed,142.6
41607,Unknown,Closed,131.43
30741,Unknown,Closed,158.69
60233,Unknown,Open,140.2
14503,Unknown,Open,115.85
21778,Unknown,Open,83.27
10628,Unknown,Open,113.73
8793,Unknown,Open,94.48
43324,Unknown,Open,102.58
43022,Unknown,Open,137.66
8434,Unknown,Open,170.1
43002,Unknown,Closed,131.84
11017,Unknown,Open,84.12
23898,Unknown,Closed,133.34
2613,Unknown,Closed,155.9
56194,Unknown,Closed,101.71
58708,Unknown,Open,115.98
55388,Unknown,Closed,120.44
54639,Unknown,Closed,96.45
23484,Unknown,Closed,139.45
58823,Unknown,Closed,116.37
48556,Unknown,Open,132.59
59901,Unknown,Open,93.38
17160,Unknown,Closed,106.88
44975,Unknown,Closed,141.67
40995,Unknown,Closed,108.82
14542,Unknown,Closed,171.81
35921,Unknown,Open,108.01
26532,Unknown,Closed,126.74
1586,Unknown,Open,147.98
3944,Unknown,Closed,77.45
23940,Unknown,Closed,67.18
19458,Unknown,Closed,74.23
1022,Unknown,Open,157.88
11654,Unknown,Open,103.44
43574,Unknown,Closed,196.75
13418,Unknown,Open,103.07
52996,Unknown,Closed,125.54
40758,Unknown,Open,166.26
9693,Unknown,Closed,180.18
45759,Unknown,Closed,181.85
63890,Unknown,Open,156.25
6874,Unknown,Closed,150.72
5676,Unknown,Open,137.78
162,Unknown,Open,143.35
37066,Unknown,Closed,103.46
26558,Unknown,Closed,95.45
33764,Unknown,Closed,119.9
63758,Unknown,Open,114.89
32607,Unknown,Closed,106.4
62256,Unknown,Closed,140.89
11535,Unknown,Closed,148.66
29128,Unknown,Closed,122.65
40398,Unknown,Closed,164.33
61143,Unknown,Closed,85.75
25852,Unknown,Closed,114.19
1017,Unknown,Closed,98.5
24254,Unknown,Closed,64.0
55592,Unknown,Open,117.52
24277,Unknown,Closed,116.35
23248,Unknown,Closed,165.4
24301,Unknown,Open,138.92
8530,Unknown,Open,89.27
17263,Unknown,Closed,175.62
9269,Unknown,Closed,156.63
21272,Unknown,Closed,137.46
12186,Unknown,Open,113.21
63705,Unknown,Closed,91.22
21244,Unknown,Open,108.83
39100,Unknown,Open,152.66
8572,Unknown,Open,176.54
57837,Unknown,Closed,166.3
39977,Unknown,Closed,105.33
38045,Unknown,Closed,86.41
51215,Unknown,Closed,124.23
61229,Unknown,Closed,66.95
49217,Unknown,Closed,129.7
48985,Unknown,Closed,115.57
40775,Unknown,Closed,106.02
2569,Unknown,Closed,72.16
54616,Unknown,Closed,135.41
62593,Unknown,Closed,104.02
2028,Unknown,Closed,84.9
2696,Unknown,Closed,33.83
58840,Unknown,Open,119.17
48191,Unknown,Closed,173.17
5259,Unknown,Closed,169.84
22003,Unknown,Closed,106.29
39505,Unknown,Closed,101.93
33160,Unknown,Closed,134.06
13987,Unknown,Open,90.05
61859,Unknown,Closed,129.05
63777,Unknown,Closed,142.98
12667,Unknown,Closed,156.81
38661,Unknown,Open,117.0
3562,Unknown,Closed,113.89
26855,Unknown,Closed,93.66
64506,Unknown,Closed,95.19
38953,Unknown,Closed,113.21
52252,Unknown,Closed,131.02
22663,Unknown,Open,147.41
8393,Unknown,Closed,95.9
30536,Unknown,Open,164.78
13068,Unknown,Closed,111.87
48034,Unknown,Open,119.36
52257,Unknown,Closed,97.58
23600,Unknown,Closed,47.27
61943,Unknown,Closed,146.52
35223,Unknown,Closed,142.11
11838,Unknown,Closed,111.56
14040,Unknown,Open,122.01
58149,Unknown,Closed,135.48
30819,Unknown,Open,73.12
19116,Unknown,Closed,104.13
63336,Unknown,Closed,143.83
10966,Unknown,Open,82.37
24539,Unknown,Open,128.81
42531,Unknown,Closed,79.3
5057,Unknown,Closed,133.99
32483,Unknown,Closed,118.93
47717,Unknown,Closed,71.55
8111,Unknown,Closed,154.94
13774,Unknown,Open,97.96
27267,Unknown,Closed,95.69
52993,Unknown,Open,126.02
17413,Unknown,Closed,154.46
56538,Unknown,Closed,89.53
33271,Unknown,Closed,121.85
6911,Unknown,Closed,132.86
45454,Unknown,Closed,140.79
25447,Unknown,Open,125.29
56091,Unknown,Closed,108.99
53641,Unknown,Closed,95.17
207,Unknown,Closed,122.58
21519,Unknown,Open,87.84
22362,Unknown,Closed,32.36
56874,Unknown,Closed,133.1
23420,Unknown,Closed,147.12
50637,Unknown,Closed,49.11
57011,Unknown,Closed,89.71
48703,Unknown,Closed,138.57
50016,Unknown,Open,181.72
51943,Unknown,Closed,120.62
56561,Unknown,Closed,98.16
41524,Unknown,Closed,114.51
54269,Unknown,Closed,161.25
45152,Unknown,Closed,100.62
22404,Unknown,Closed,96.02
18142,Unknown,Closed,105.52
14821,Unknown,Open,91.4
40343,Unknown,Closed,123.68
6375,Unknown,Closed,168.74
56045,Unknown,Open,129.69
1679,Unknown,Closed,112.43
52395,Unknown,Closed,111.25
53789,Unknown,Closed,73.1
33828,Unknown,Closed,146.49
55821,Unknown,Closed,117.66
62624,Unknown,Open,114.59
16199,Unknown,Closed,215.79
9915,Unknown,Closed,128.96
27891,Unknown,Open,97.45
52310,Unknown,Closed,107.21
22300,Unknown,Closed,154.45
43586,Unknown,Closed,123.4
43690,Unknown,Closed,76.85
64045,Unknown,Closed,147.58
42558,Unknown,Closed,99.96
