student_id,roll_number,department,program,specialization,gender,age,domicile_state,category,study_hours_per_day,attendance_percentage,sgpa,percentage,teaching_method,learning_style
1,ROLL0001,IT,MCA,Software Engg,Male,20,Bihar,OBC,4.4,98.03,8.93,57.64,Online,Visual
2,ROLL0002,CSE,B.Tech,Cloud,Male,25,UP,OBC,1.9,78.37,7.33,57.29,Traditional,Visual
3,ROLL0003,ECE,MCA,Cyber Security,Female,22,Haryana,ST,7.4,60.82,9.88,69.85,Traditional,Visual
4,ROLL0004,CSE,B.Tech,AI,Female,26,Haryana,ST,6.6,84.47,6.03,72.51,Traditional,Visual
5,ROLL0005,CSE,B.Tech,AI,Female,20,UP,General,3.6,84.47,6.56,56.26,Hybrid,Visual
6,ROLL0006,IT,MCA,Data Science,Female,22,Haryana,SC,4.4,99.33,7.87,56.14,Hybrid,Visual
7,ROLL0007,CSE,BCA,AI,Male,22,Punjab,OBC,6.5,66.82,6.26,66.5,Hybrid,Visual
8,ROLL0008,MCA,BCA,AI,Female,25,Delhi,General,3.1,69.64,8.73,64.04,Online,Auditory
9,ROLL0009,MCA,BCA,AI,Male,23,Haryana,SC,1.3,96.37,7.04,47.57,Traditional,Visual
10,ROLL0010,BCA,BCA,Software Engg,Female,19,Haryana,SC,2.9,82.71,6.13,64.16,Online,Visual
11,ROLL0011,IT,B.Tech,Data Science,Female,25,Punjab,ST,8.0,97.58,9.58,77.69,Traditional,Kinesthetic
12,ROLL0012,IT,B.Tech,Software Engg,Female,22,Punjab,General,6.1,80.83,9.84,69.16,Hybrid,Auditory
13,ROLL0013,ECE,BCA,Cloud,Male,26,Delhi,ST,4.5,70.85,9.31,56.77,Traditional,Visual
14,ROLL0014,IT,B.Tech,Cloud,Female,26,Haryana,SC,3.7,66.61,6.06,56.7,Online,Kinesthetic
15,ROLL0015,ECE,BCA,Cyber Security,Male,20,Delhi,ST,8.0,67.95,6.02,76.91,Traditional,Kinesthetic
16,ROLL0016,IT,BCA,Software Engg,Female,26,Bihar,OBC,8.1,84.24,9.71,78.74,Online,Kinesthetic
17,ROLL0017,BCA,B.Tech,Cyber Security,Female,25,UP,General,9.2,94.0,7.8,76.37,Hybrid,Visual
18,ROLL0018,CSE,BCA,Data Science,Female,20,Haryana,ST,7.0,83.65,7.1,67.15,Online,Visual
19,ROLL0019,IT,MCA,Cyber Security,Female,24,Punjab,OBC,5.2,64.78,8.85,67.41,Traditional,Visual
20,ROLL0020,CSE,MCA,Cyber Security,Male,20,UP,ST,1.4,88.43,6.44,61.89,Hybrid,Auditory
21,ROLL0021,BCA,B.Tech,Software Engg,Female,24,UP,SC,1.3,85.46,7.26,58.42,Online,Kinesthetic
22,ROLL0022,ECE,B.Tech,Software Engg,Male,24,Punjab,General,6.4,81.59,6.81,69.3,Hybrid,Auditory
23,ROLL0023,CSE,BCA,Cyber Security,Female,23,Delhi,OBC,3.6,66.45,9.72,63.31,Online,Kinesthetic
24,ROLL0024,ECE,BCA,Cyber Security,Male,24,Haryana,ST,5.1,68.74,7.67,71.09,Hybrid,Kinesthetic
25,ROLL0025,IT,B.Tech,Cyber Security,Male,21,Haryana,ST,9.1,72.72,6.44,75.34,Hybrid,Auditory
26,ROLL0026,CSE,BCA,Software Engg,Male,26,Bihar,General,4.2,72.19,6.66,55.28,Traditional,Auditory
27,ROLL0027,MCA,MCA,Cloud,Female,25,Bihar,ST,5.4,87.7,7.08,62.87,Traditional,Auditory
28,ROLL0028,CSE,B.Tech,Cyber Security,Male,21,Bihar,ST,7.3,74.55,9.89,69.33,Online,Auditory
29,ROLL0029,BCA,BCA,Data Science,Female,18,Punjab,SC,3.2,87.85,8.85,57.39,Traditional,Visual
30,ROLL0030,IT,B.Tech,AI,Female,23,UP,OBC,6.7,87.23,8.12,69.68,Online,Visual
31,ROLL0031,ECE,B.Tech,Cloud,Male,25,Delhi,OBC,3.2,86.89,9.05,63.56,Online,Visual
32,ROLL0032,ECE,B.Tech,Software Engg,Male,18,Bihar,OBC,5.2,99.34,7.6,61.05,Traditional,Kinesthetic
